time,All,Male,Female
2001,5,5,5
2002,6,6,6
2003,6,6,6
2004,6,6,5
2005,5,5,5
2006,5,5,5
2007,5,5,5
2008,6,6,5
2009,9,10,8
2010,10,11,9
