time,All,Male,Female
2011,9,9,8
2012,8,8,8
2013,7,8,7
2014,6,6,6
2015,5,5,5
2016,5,5,5
2017,4,4,4
2018,4,4,4
2019,4,4,4
2020,8,8,9
